contribution_date,amount,contributor_name,sector_category,alignment,candidate_name,office
2026-02-01,5000.0,Golden Hill Nursing and Rehabilitation,post_acute_long_term_care,neutral,Kathleen C. Hochul,governor
2024-10-28,5000.0,Medical Society of the State of New York,industry_association,neutral,Kathleen C. Hochul,governor
2025-09-09,5000.0,Medical Society of the State of New York,industry_association,neutral,Kathleen C. Hochul,governor
2023-08-22,5000.0,Medical Society of the State of New York,industry_association,neutral,Kathleen C. Hochul,governor
2022-09-21,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2022-09-21,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2025-01-10,5000.0,Magnolia Home Care Service LLC,post_acute_long_term_care,neutral,Kathleen C. Hochul,governor
2021-09-23,5000.0,Care Partners Medical Management LLC,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2022-07-07,5000.0,Coalition of Asian-American Independent Practice Associations,industry_association,unknown,Kathleen C. Hochul,governor
2021-12-03,5000.0,"Jennan Comprehensive Medical, PC",hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2021-10-07,5000.0,Healthcare Association of New York State (HANYS),industry_association,unknown,Kathleen C. Hochul,governor
2025-12-30,5000.0,Leadingage New York Pac,industry_association,neutral,Kathleen C. Hochul,governor
2022-10-19,5000.0,Healthcare Association of New York State (HANYS),industry_association,unknown,Kathleen C. Hochul,governor
2023-05-30,5000.0,Capital Cardiology Associates PC,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2022-01-12,5000.0,Livingwell Day Care Center LLC,adult_day_care,neutral,Kathleen C. Hochul,governor
2022-04-29,5000.0,Care Partners Medical Management LLC,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2023-09-26,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2022-11-04,5000.0,Heart To Heart Home Care,post_acute_long_term_care,neutral,Lee Michael Zeldin,governor
2022-08-26,5000.0,Four Seasons Nursing and Rehab Center,post_acute_long_term_care,neutral,Lee Michael Zeldin,governor
2022-09-21,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2023-09-26,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2022-09-16,5000.0,Montefiore Health System,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2021-04-26,5000.0,Healthcare Association of New York State (HANYS),industry_association,unknown,Michael Gianaris,assembly
2022-01-12,5000.0,JY Adult Social Day Care Service Inc.,adult_day_care,neutral,Kathleen C. Hochul,governor
2021-12-13,5000.0,Health Plan Association (HPA) PAC,industry_association,neutral,Kathleen C. Hochul,governor
2026-02-01,5000.0,Hudson Hill Center for Rehabilitation,post_acute_long_term_care,neutral,Kathleen C. Hochul,governor
2022-04-29,5000.0,Intergen Health LLC,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2025-01-23,5000.0,Intercounty Health Facilities Assoc,other_healthcare_related,neutral,Kathleen C. Hochul,governor
2026-06-22,5000.0,Coalition of Asian-American Independent Practice Associations,industry_association,unknown,Toby Ann Stavisky,state_senate
2022-03-03,5000.0,Healthcare Association of New York State (HANYS),industry_association,unknown,Kathleen C. Hochul,governor
2020-07-01,5000.0,New York State Dental Association PAC (NYSDAPAC),industry_association,unknown,Michael Gianaris,assembly
2023-01-11,5000.0,New York State Dental Association PAC (NYSDAPAC),industry_association,unknown,Michael Gianaris,assembly
2022-09-21,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2021-12-15,5000.0,Hillside Manor Rehabilitation and Extend,post_acute_long_term_care,neutral,Kathleen C. Hochul,governor
2022-08-31,5000.0,Islandwide Surgical PC,hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2020-09-10,5000.0,Healthcare Association of New York State (HANYS),industry_association,neutral,Kathleen C. Hochul,governor
2020-02-28,5000.0,Healthcare Association of New York State (HANYS),industry_association,unknown,Michael Gianaris,assembly
2022-01-19,5000.0,"Horizon Therapeutics USA, Inc",pharma,neutral,Kathleen C. Hochul,governor
2021-09-30,5000.0,Coalition of Asian-American Independent Practice Associations,industry_association,unknown,Kathleen C. Hochul,governor
2021-02-23,5000.0,Eli Lilly,pharma,neutral,Gustavo Rivera,state_senate
2026-05-12,5000.0,"Independent Health Care Services, Inc",hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2023-06-11,5000.0,Big Smiles Dental New York,hospital_health_system_provider,neutral,Amy Paulin,assembly
2022-04-14,5000.0,"Independent Health Care Services, Inc",hospital_health_system_provider,neutral,Kathleen C. Hochul,governor
2023-09-26,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2025-10-02,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
2025-11-05,5000.0,Centene,health_insurer,neutral,Kathleen C. Hochul,governor
